model numbaring in vm,model name,loaded,Satisfiable,required,disallowed,interactions,notes
109,seaurchinA2-5.rein,7,no solutions,,,,
110,seaurchinA2-6.rein,7,no solutions,,,,
111,seaurchinA2-7.rein,7,no solutions,,,,
112,seaurchinA2-8.rein,7,no solutions,,,,
113,seaurchinA2-9.rein,7,found,4,3," REQ: dn -> gatae (+)
    REQ: dn -> gcm (+)
    REQ: gatae -> sixhalf6 (+)
    REQ: gcm -> gatae (+)
    DIS: dn -> dn (+)
    DIS: gcm -> gcm (+)
    DIS: sixhalf6 -> gcm (+)",
114,seaurchina2.rein,7,no solutions,,,,
115,seaurchina22.rein,7,no solutions,,,,
116,seaurchina222.rein,7,no solutions,,,,
117,seaurchina2222.rein,6,no solutions,,,,
118,seaurchinA3-1.rein,7,found,3,1,"    REQ: dn -> gatae (+)
    REQ: dn -> gcm (+)
    REQ: gatae -> sixhalf6 (+)
    DIS: dn -> dn (+)
",
119,seaurchinA3-2.rein,7,no solutions,,,,
120,seaurchinA3-3.rein,7,found,1,0,"   REQ: gatae -> sixhalf6 (+)",
121,seaurchina3.rein,7,no solutions,,,,
122,seaurchina33.rein,7,no solutions,,,,
123,seaurchina333.rein,7,no solutions,,,,
124,seaurchina3333.rein,7,found,3,1," REQ: dn -> gatae (+)
    REQ: dn -> gcm (+)
    REQ: gatae -> sixhalf6 (+)
    DIS: dn -> dn (+)",
125,seaurchina33333.rein,7,no solutions,,,,
126,seaurchina333333.rein,7,no solutions,,,,
127,seaurchina3333333.rein,8,no solutions,,,,
128,seaurchina33333333.rein,8,found,2,1," REQ: dn -> gatae (+)
    REQ: dn -> gcm (+)
    DIS: dn -> dn (+)",
129,seaurchina333333333.rein,7,found,3,1,"   REQ: dn -> gatae (+)
    REQ: dn -> gcm (+)
    REQ: gatae -> sixhalf6 (+)
    DIS: dn -> dn (+)",
130,seaurchina3333333333.rein,7,found,3,1,"REQ: dn -> gatae (+)
    REQ: dn -> gcm (+)
    REQ: gatae -> sixhalf6 (+)
    DIS: dn -> dn (+)
",
131,seaurchina33333333333.rein,7,no solutions,,,,
132,seaurchina333333333333.rein,7,no solutions,,,,
133,seaurchina4.rein,7,found,0,0,,
134,seaurchinC1+3-1.rein,12,no solutions,,,,
135,seaurchinC1+3-2.rein,12,no solutions,,,,
136,seaurchinC1+3-3.rein,12,no solutions,,,,
137,seaurchinC1-1.rein,7,"ERROR: The given key was not present in the dictionary.
",,,,
138,seaurchinC1-2.rein,7,"ERROR: The given key was not present in the dictionary.
",,,,
139,seaurchinC1-3.rein,7,"ERROR: The given key was not present in the dictionary.
",,,,
140,seaurchinC1-4.rein,7,"ERROR: The given key was not present in the dictionary.
",,,,
141,seaurchinC1-5.rein,7,no solutions,,,,
142,seaurchinC1-6.rein,7,no solutions,,,,
143,seaurchinC1-7.rein,8,no solutions,,,,
144,seaurchinC1-8.rein,7,no solutions,,,,
145,seaurchinC1-9.rein,7,found,3,0,"  REQ: alx -> dri (+)
    REQ: dri -> sm50 (+)
    REQ: ets -> alx (+)
",
146,seaurchinC2-1.rein,7,"ERROR: The given key was not present in the dictionary.
",,,,
147,seaurchinC2-2.rein,7,found,3,0,"   REQ: alx -> dri (+)
    REQ: dri -> sm50 (+)
    REQ: ets -> alx (+)",
148,seaurchinC3-1.rein,7,"ERROR: The given key was not present in the dictionary.
",,,,
149,seaurchinC3-2.rein,7,"ERROR: The given key was not present in the dictionary.
",,,,
150,seaurchinC3-3.rein,7,no solutions,,,,
151,seaurchinC3-4.rein,7,no solutions,,,,
152,seaurchinC3-5.rein,7,found,3,0," REQ: alx -> dri (+)
    REQ: dri -> sm50 (+)
    REQ: ets -> alx (+)",
153,seaurchinC3-6.rein,7,found,3,0,"   REQ: alx -> dri (+)
    REQ: dri -> sm50 (+)
    REQ: ets -> alx (+)",
154,seaurchinC3-7.rein,7,no solutions,,,,
155,seaurchinC3-8.rein,12,found,8,0," REQ: alx -> dri (+)
    REQ: dnnode1 -> dnnode2 (+)
    REQ: dnnode2 -> dnnode3 (+)
    REQ: dnnode3 -> dnnode4 (+)
    REQ: dnnode4 -> dnnode5 (+)
    REQ: dnnode5 -> dngate (+)
    REQ: dri -> sm50 (+)
    REQ: ets -> alx (+)",
156,seaurchinD1+2-1.rein,5,no,,,,
157,seaurchind1-1.rein,"ERROR: RE:IN(1,46):error : parsing failed at line 1, column 46: parse error",,,,,
158,seaurchind1-2.rein,5,found,1,0,  REQ: A -> C (+),
159,seaurchind2-1.rein,5,found,3,0," REQ: A -> B (+)
    REQ: A -> C (+)
    REQ: B -> C (-)",
160,seaurchind3-1.rein,5,ERROR: The given key was not present in the dictionary.,,,,
161,seaurchind3-2.rein,5,no,,,,
162,seaurchind3-3.rein,6,no,,,,
163,seaurchind3-4.rein,5,found,2,0,"REQ: A -> B (+)
    REQ: B -> C (-)",
164,seaurchind4-1.rein,5,no,,,,
165,seaurchind4-2.rein,6,no,,,,
166,seaurchind4-3.rein,6,found,1,0,    REQ: A -> B (+),
167,seaurchinDcombo1-1.rein,5,no,,,,
168,seaurchine1-1.rein,"ERROR: RE:IN(1,42):error : parsing failed at line 1, column 42: parse error",,,,,
169,seaurchine1-2.rein,6,ERROR: The given key was not present in the dictionary.,,,,
170,seaurchine1-3.rein,6,ERROR: The given key was not present in the dictionary.,,,,
171,seaurchine1-4.rein,6,no,,,,
172,seaurchine1-5.rein,6,no,,,,
173,seaurchine1-6.rein,6,no,,,,
174,seaurchine1-7.rein,6,found,0,0,,
175,seaurchine1-8.rein,6,no,,,,
176,seaurchine1-9.rein,6,found,0,0,,
177,seaurchine2-1.rein,6,ERROR: The given key was not present in the dictionary.,,,,
178,seaurchine2-2.rein,6,ERROR: The given key was not present in the dictionary.,,,,
179,seaurchine2-3.rein,6,no,,,,
180,seaurchine2-4.rein,6,found,1,0,REQ: gcm -> nsmfate (+),
181,seaurchine2-5.rein,6,found,1,0,REQ: gcm -> nsmfate (+),
182,seaurchine3-1.rein,6,found,4,0," REQ: alx -> gcm (-)
    REQ: alx -> skelefate (+)
    REQ: gcm -> alx (-)
    REQ: gcm -> nsmfate (+)",
183,seaurchinF1+2-1.rein,10,ERROR: The given key was not present in the dictionary.,,,,
184,seaurchinF1+2-2.rein,10,ERROR: The given key was not present in the dictionary.,,,,
185,seaurchinF1+2-3.rein,10,no,,,,
186,seaurchinf1-1.rein,10,no,,,,
187,seaurchinf1-2.rein,10,no,,,,
188,seaurchinf1-3.rein,10,found,6,0," REQ: ets -> alx (+)
    REQ: ets -> tbr (+)
    REQ: hesc -> alx (-)
    REQ: hesc -> ets (-)
    REQ: hesc -> tbr (-)
    REQ: pmar -> hesc (-)",
189,seaurchinf1-4.rein,10,found,0,0,,
190,seaurchinf2-1.rein,10,found,0,5,"  DIS: ets -> alx (+)
    DIS: hesc -> alx (-)
    DIS: hesc -> ets (-)
    DIS: matinput -> pmar (+)
    DIS: matubi -> ets (+)",
191,seaurchinf2-2.rein,10,found,0,0,,
192,seaurhcine1-9.rein,6,found,0,0,,
193,simplemodel1.rein,6,found,0,0,,
194,simplemodel10.rein,4,found,0,2,"  DIS: green -> blue (-)
    DIS: red -> blue (-)",
195,simplemodel11.rein,4,found,0,0,,
196,simplemodel12-1.rein,4,found,0,0,,
197,simplemodel12-2.rein,4,no,,,,
198,simplemodel12-3.rein,4,no,,,,
199,simplemodel12-4.rein,4,ERROR: The given key was not present in the dictionary.,,,,
200,simplemodel12-5.rein,4,ERROR: The given key was not present in the dictionary.,,,,
201,simplemodel12.rein,4,found,0,0,,
202,simplemodel13.rein,4,no,,,,
203,simplemodel14.rein,4,no,,,,
204,simplemodel15.rein,4,found,0,2,"  DIS: green -> blue (-)
    DIS: red -> blue (-)",
205,simplemodel16.rein,4,no,,,,
206,simplemodel17.rein,4,no,,,,
207,simplemodel18.rein,4,no,,,,
208,simplemodel19.rein,4,no,,,,
209,simplemodel2.rein,"ERROR: RE:IN(2,13):error : parsing failed at line 2, column 13: parse error",,,,,
210,simplemodel20.rein,4,found,0,2,"  DIS: green -> blue (-)
    DIS: red -> blue (-)",
211,simplemodel21.rein,4,no,,,,
212,simplemodel22.rein,4,no,,,,
213,simplemodel23.rein,4,no,,,,
214,simplemodel24.rein,4,found,0,0,,
215,simplemodel25.rein,4,no,,,,
216,simplemodel26.rein,4,no,,,,
217,simplemodel27.rein,4,no,,,,
218,simplemodel28.rein,4,no,,,,
219,simplemodel29.rein,4,no,,,,
220,simplemodel3.rein,4,found,0,0,,
221,simplemodel30.rein,4,found,0,0,,
222,simplemodel31.rein,4,found,0,0,,
223,simplemodel32.rein,4,found,0,0,,
224,simplemodel33.rein,4,found,0,0,,
225,simplemodel34.rein,4,found,0,0,,
226,simplemodel35.rein,4,found,0,0,,
227,simplemodel4.rein,4,found,0,0,,
228,simplemodel5.rein,4,found,0,0,,
229,simplemodel6.rein,4,found,0,0,,
230,simplemodel7.rein,4,found,0,2," DIS: blue -> red (-)
    DIS: green -> red (+)",
231,simplemodel8.rein,4,found,0,0,,
232,simplemodel9.rein,4,found,0,2,"DIS: green -> blue (-)
    DIS: red -> blue (-)",
233,seaurchinA1-1.rein,7,found,1,0,REQ: gatae -> sixhalf6 (+),
234,seaurchinA2-11.rein,7,found,4,5,"  REQ: dn -> gatae (+)
    REQ: dn -> gcm (+)
    REQ: gatae -> sixhalf6 (+)
    REQ: gcm -> gatae (+)
    DIS: dn -> dn (+)
    DIS: gcm -> gcm (+)
    DIS: sixhalf6 -> gcm (+)",
235,seaurchinA3-1.rein,7,found,3,1," REQ: dn -> gatae (+)
    REQ: dn -> gcm (+)
    REQ: gatae -> sixhalf6 (+)
    DIS: dn -> dn (+)",
236,seaurchinC1-9.rein,7,found,3,0," REQ: alx -> dri (+)
    REQ: dri -> sm50 (+)
    REQ: ets -> alx (+)",
237,seaurchinC2-2.rein,7,found,3,0,"REQ: alx -> dri (+)
    REQ: dri -> sm50 (+)
    REQ: ets -> alx (+)",
238,seaurchinC3-5.rein,7,found,3,0,"REQ: alx -> dri (+)
    REQ: dri -> sm50 (+)
    REQ: ets -> alx (+)",
239,seaurchinC3-7.rein,7,no,,,,
240,seaurchinC3-8.rein,12,found,8,0,"  REQ: alx -> dri (+)
    REQ: dnnode1 -> dnnode2 (+)
    REQ: dnnode2 -> dnnode3 (+)
    REQ: dnnode3 -> dnnode4 (+)
    REQ: dnnode4 -> dnnode5 (+)
    REQ: dnnode5 -> dngate (+)
    REQ: dri -> sm50 (+)
    REQ: ets -> alx (+)",
241,seaurchind1-2.rein,5,found,1,0,A -> C (+),
